prof_id,avg_teaching_clarity,avg_course_organization,avg_overall_rating,avg_interaction,avg_assignment_usefulness,sentiment_score,is_new_prof,fallback_level
PROF011,2.967,2.9784,2.6582,3.0115,2.8741,0.1699,0,1
PROF012,2.961,3.159,2.4602,3.2987,2.6751,0.234,0,1
PROF012,2.961,3.159,2.4602,3.2987,2.6751,0.234,0,1
PROF012,2.961,3.159,2.4602,3.2987,2.6751,0.234,0,1
PROF013,3.7828,3.4431,3.4649,3.3558,3.452,0.5836,0,1
PROF013,3.7828,3.4431,3.4649,3.3558,3.452,0.5836,0,1
PROF013,3.7828,3.4431,3.4649,3.3558,3.452,0.5836,0,1
PROF014,3.214,3.0702,2.921,3.3089,3.8062,0.2645,0,1
PROF014,3.214,3.0702,2.921,3.3089,3.8062,0.2645,0,1
PROF015,3.9168,3.3507,4.0753,3.9546,2.8792,0.6759,0,1
PROF015,3.9168,3.3507,4.0753,3.9546,2.8792,0.6759,0,1
PROF016,4.0788,3.6562,3.6711,3.9946,3.4999,0.3657,0,1
PROF016,4.0788,3.6562,3.6711,3.9946,3.4999,0.3657,0,1
PROF016,4.0788,3.6562,3.6711,3.9946,3.4999,0.3657,0,1
PROF016,4.0788,3.6562,3.6711,3.9946,3.4999,0.3657,0,1
PROF017,3.0116,3.194,2.7449,2.7864,2.9868,0.4041,0,1
PROF017,3.0116,3.194,2.7449,2.7864,2.9868,0.4041,0,1
PROF017,3.0116,3.194,2.7449,2.7864,2.9868,0.4041,0,1
PROF018,3.35,3.03,3.68,2.84,3.42,0.9995,0,1
PROF018,3.35,3.03,3.68,2.84,3.42,0.9995,0,1
PROF018,3.35,3.03,3.68,2.84,3.42,0.9995,0,1
PROF018,3.35,3.03,3.68,2.84,3.42,0.9995,0,1
PROF019,3.2595,3.0967,3.5417,3.48,3.2718,0.4757,0,1
PROF019,3.2595,3.0967,3.5417,3.48,3.2718,0.4757,0,1
PROF019,3.2595,3.0967,3.5417,3.48,3.2718,0.4757,0,1
PROF020,2.4746,2.7276,3.3982,3.3305,3.2941,0.4571,0,1
PROF020,2.4746,2.7276,3.3982,3.3305,3.2941,0.4571,0,1
PROF021,3.0407,3.8559,3.1246,2.9205,3.1532,0.4765,0,1
PROF021,3.0407,3.8559,3.1246,2.9205,3.1532,0.4765,0,1
PROF021,3.0407,3.8559,3.1246,2.9205,3.1532,0.4765,0,1
PROF021,3.0407,3.8559,3.1246,2.9205,3.1532,0.4765,0,1
PROF022,3.7347,3.8649,4.1549,4.3732,3.9671,0.512,0,1
PROF022,3.7347,3.8649,4.1549,4.3732,3.9671,0.512,0,1
PROF022,3.7347,3.8649,4.1549,4.3732,3.9671,0.512,0,1
PROF023,3.1775,2.9032,3.5328,3.3361,3.9416,0.3933,0,1
PROF023,3.1775,2.9032,3.5328,3.3361,3.9416,0.3933,0,1
PROF024,3.703,4.0682,3.1917,2.9204,3.0833,0.3211,0,1
PROF025,3.8859,3.8235,3.7285,4.1499,4.6453,0.3591,0,1
PROF025,3.8859,3.8235,3.7285,4.1499,4.6453,0.3591,0,1
PROF025,3.8859,3.8235,3.7285,4.1499,4.6453,0.3591,0,1
PROF026,4.1898,3.1735,3.8697,3.7378,4.1047,0.4816,0,1
PROF026,4.1898,3.1735,3.8697,3.7378,4.1047,0.4816,0,1
PROF026,4.1898,3.1735,3.8697,3.7378,4.1047,0.4816,0,1
PROF026,4.1898,3.1735,3.8697,3.7378,4.1047,0.4816,0,1
PROF027,3.7671,2.9312,3.4866,3.1879,3.412,0.5218,0,1
PROF027,3.7671,2.9312,3.4866,3.1879,3.412,0.5218,0,1
PROF027,3.7671,2.9312,3.4866,3.1879,3.412,0.5218,0,1
PROF028,4.132,3.0074,4.1669,3.768,4.2248,0.5131,0,1
PROF028,4.132,3.0074,4.1669,3.768,4.2248,0.5131,0,1
PROF029,2.8955,2.7797,2.9006,2.703,3.2856,0.3358,0,1
PROF029,2.8955,2.7797,2.9006,2.703,3.2856,0.3358,0,1
PROF030,3.6214,3.4787,2.5222,4.0832,3.0312,0.3246,0,1
