student_id,branch,semester,actual_oe,actual_rank,total_candidates,actual_score,predicted_score,hit@5,hit@10,ndcg@10,top5_oes
STU0034,CSE,7,ME_OE701_IndustrialAuto,31,32,0.6,0.1244,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics | EEE_OE708_SpacePower
STU0246,EEE,7,ME_OE705_TurbineDes,5,32,0.6,0.1584,1,1,0.3869,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0381,CE,7,EEE_OE702_SolarFarm,3,32,1.0,0.1556,1,1,0.5,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0077,ME,7,ECE_OE701_AutomotiveElec,5,32,0.7,0.1488,1,1,0.3869,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | ECE_OE701_AutomotiveElec
STU0471,ECE,7,EEE_OE707_TidalEnergy,12,32,0.7,0.1454,0,0,0.0,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE705_TurbineDes
STU0289,EEE,7,ME_OE703_HydrogenEnergy,20,32,0.8,0.1352,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0258,CE,7,EEE_OE708_SpacePower,3,32,0.6,0.1758,1,1,0.5,CSE_OE703_FinTech | EEE_OE702_SolarFarm | EEE_OE708_SpacePower | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0170,ME,7,EEE_OE705_GridCyber,8,32,1.0,0.1542,0,1,0.3155,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | EEE_OE708_SpacePower
STU0111,ECE,7,ME_OE708_AdvancedRobotics,5,32,0.9,0.1551,1,1,0.3869,CSE_OE703_FinTech | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics
STU0352,CSE,7,ME_OE701_IndustrialAuto,31,32,1.0,0.1091,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics | EEE_OE708_SpacePower
STU0014,CE,7,ECE_OE702_MedElec,26,32,0.0,0.1259,0,0,0.0,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | EEE_OE708_SpacePower | ME_OE705_TurbineDes
STU0168,CE,7,CSE_OE702_DataPrivacy,12,32,1.0,0.1582,0,0,0.0,CSE_OE703_FinTech | EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics | EEE_OE708_SpacePower | ME_OE705_TurbineDes
STU0062,ECE,7,EEE_OE701_EnergyAudit,25,32,0.7,0.1456,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm
STU0078,ECE,7,CE_OE708_ClimateAdapt,24,32,1.0,0.1328,0,0,0.0,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes | CE_OE704_ConstructionMgmt
STU0311,ME,7,ECE_OE701_AutomotiveElec,6,32,0.7,0.1604,0,1,0.3562,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | EEE_OE708_SpacePower
STU0484,ME,7,CSE_OE706_AIEthics,19,32,0.7,0.1407,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | ECE_OE701_AutomotiveElec
STU0303,CSE,7,ECE_OE701_AutomotiveElec,7,32,0.7,0.1428,0,1,0.3333,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes | EEE_OE702_SolarFarm
STU0388,EEE,7,CSE_OE705_SoftwareArch,27,32,0.8,0.1238,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | CSE_OE703_FinTech | ME_OE705_TurbineDes
STU0080,ME,7,CSE_OE703_FinTech,4,32,0.7,0.1623,1,1,0.4307,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE702_SolarFarm | CSE_OE703_FinTech | EEE_OE708_SpacePower
STU0103,CSE,7,EEE_OE707_TidalEnergy,12,32,0.8,0.1542,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
STU0462,ME,7,EEE_OE701_EnergyAudit,20,32,0.7,0.1406,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | EEE_OE708_SpacePower
STU0398,CSE,7,EEE_OE706_Superconductors,28,32,0.6,0.1301,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
STU0467,CE,7,EEE_OE707_TidalEnergy,12,32,0.9,0.1748,0,0,0.0,CSE_OE703_FinTech | EEE_OE702_SolarFarm | EEE_OE708_SpacePower | ME_OE708_AdvancedRobotics | CSE_OE701_AutonomousSys
STU0017,CSE,7,ECE_OE703_SatelliteComm,8,32,0.9,0.1536,0,1,0.3155,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
STU0082,CSE,7,EEE_OE706_Superconductors,27,32,0.9,0.1439,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
STU0248,ME,7,EEE_OE705_GridCyber,10,32,1.0,0.1532,0,1,0.2891,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | ECE_OE701_AutomotiveElec
STU0342,CSE,7,ME_OE708_AdvancedRobotics,3,32,0.6,0.1644,1,1,0.5,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes | EEE_OE702_SolarFarm
STU0474,EEE,7,ECE_OE707_Terahertz,30,32,0.0,0.1176,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0059,ME,7,EEE_OE706_Superconductors,30,32,0.7,0.1207,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | EEE_OE708_SpacePower
STU0056,ME,7,CE_OE705_TunnelEng,9,32,0.9,0.1491,0,1,0.301,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | EEE_OE708_SpacePower
STU0441,CE,7,ECE_OE703_SatelliteComm,7,32,0.7,0.1547,0,1,0.3333,CSE_OE703_FinTech | EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics | EEE_OE708_SpacePower | ME_OE705_TurbineDes
STU0345,EEE,7,CSE_OE706_AIEthics,16,32,0.9,0.1273,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0228,CSE,7,ECE_OE707_Terahertz,29,32,0.9,0.1304,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
STU0060,ME,7,EEE_OE705_GridCyber,10,32,0.7,0.1426,0,1,0.2891,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | ECE_OE701_AutomotiveElec
STU0392,ME,7,ECE_OE702_MedElec,28,32,0.0,0.1307,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | ECE_OE701_AutomotiveElec
STU0167,CE,7,CSE_OE708_5GNetworks,16,32,0.8,0.1636,0,0,0.0,CSE_OE703_FinTech | EEE_OE702_SolarFarm | EEE_OE708_SpacePower | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0146,ME,7,ECE_OE705_FPGA,16,32,0.7,0.1449,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | ECE_OE701_AutomotiveElec
STU0477,ECE,7,ME_OE708_AdvancedRobotics,4,32,0.7,0.1464,1,1,0.4307,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0496,CE,7,ME_OE704_SpaceProp,32,32,0.8,0.1186,0,0,0.0,CSE_OE703_FinTech | EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics | EEE_OE708_SpacePower | ME_OE705_TurbineDes
STU0027,ECE,7,ME_OE704_SpaceProp,32,32,0.6,0.1056,0,0,0.0,CSE_OE703_FinTech | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm
STU0164,ECE,7,EEE_OE704_BatteryTech,32,32,0.7,0.1059,0,0,0.0,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE705_TurbineDes
STU0134,EEE,7,ECE_OE708_QuantumComm,27,32,1.0,0.1244,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0322,ECE,7,EEE_OE708_SpacePower,7,32,0.6,0.153,0,1,0.3333,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0158,EEE,7,CE_OE703_GreenBuilding,14,32,0.7,0.1392,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0479,ME,7,CE_OE707_WasteManagement,2,32,0.8,0.1733,1,1,0.6309,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | EEE_OE708_SpacePower
STU0254,CSE,7,CE_OE703_GreenBuilding,17,32,0.6,0.123,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
STU0469,ME,7,EEE_OE703_WindEnergy,29,32,0.5,0.1235,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | ECE_OE701_AutomotiveElec
STU0006,EEE,7,ECE_OE704_SpaceElec,18,32,0.8,0.1317,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0458,CE,7,ECE_OE701_AutomotiveElec,6,32,0.8,0.146,0,1,0.3562,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes | EEE_OE708_SpacePower
STU0204,EEE,7,ECE_OE707_Terahertz,30,32,0.9,0.1531,0,0,0.0,CSE_OE703_FinTech | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0142,CE,7,EEE_OE706_Superconductors,28,32,0.7,0.1127,0,0,0.0,ME_OE708_AdvancedRobotics | CSE_OE703_FinTech | EEE_OE702_SolarFarm | ME_OE705_TurbineDes | EEE_OE708_SpacePower
STU0354,EEE,7,CE_OE706_SeismicDesign,24,32,0.9,0.1238,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0044,EEE,7,ME_OE701_IndustrialAuto,31,32,0.6,0.1143,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0391,CE,7,EEE_OE704_BatteryTech,30,32,0.8,0.123,0,0,0.0,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0255,EEE,7,CSE_OE706_AIEthics,16,32,0.8,0.1373,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0159,CE,7,EEE_OE705_GridCyber,8,32,0.0,0.1521,0,1,0.3155,CSE_OE703_FinTech | EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics | EEE_OE708_SpacePower | ME_OE705_TurbineDes
STU0251,EEE,7,CE_OE703_GreenBuilding,14,32,0.8,0.1375,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0368,ME,7,EEE_OE701_EnergyAudit,20,32,0.9,0.1427,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | EEE_OE708_SpacePower
STU0457,ME,7,CSE_OE705_SoftwareArch,25,32,0.9,0.1912,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE702_SolarFarm | CSE_OE703_FinTech | EEE_OE708_SpacePower
STU0415,CE,7,EEE_OE703_WindEnergy,27,32,0.8,0.1115,0,0,0.0,ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | CSE_OE703_FinTech | ME_OE705_TurbineDes | EEE_OE708_SpacePower
STU0008,CSE,7,CE_OE703_GreenBuilding,16,32,0.8,0.1328,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
STU0281,ECE,7,CSE_OE706_AIEthics,17,32,0.8,0.1268,0,0,0.0,CSE_OE703_FinTech | EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0173,CE,7,ECE_OE701_AutomotiveElec,5,32,1.0,0.1442,1,1,0.3869,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes | ECE_OE701_AutomotiveElec
STU0108,EEE,7,ME_OE701_IndustrialAuto,31,32,0.7,0.1056,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0443,ME,7,CE_OE707_WasteManagement,2,32,1.0,0.1676,1,1,0.6309,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | ECE_OE701_AutomotiveElec
STU0245,CSE,7,EEE_OE701_EnergyAudit,17,32,0.9,0.185,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics | EEE_OE708_SpacePower
STU0183,CSE,7,ME_OE702_SmartMfg,16,32,0.8,0.1416,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
STU0207,ME,7,ECE_OE703_SatelliteComm,9,32,0.7,0.1953,0,1,0.301,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | EEE_OE708_SpacePower
STU0234,ME,7,ECE_OE703_SatelliteComm,6,32,0.7,0.1628,0,1,0.3562,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | ECE_OE701_AutomotiveElec
STU0278,ECE,7,EEE_OE704_BatteryTech,32,32,0.8,0.1181,0,0,0.0,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0083,ECE,7,CE_OE705_TunnelEng,16,32,0.5,0.1329,0,0,0.0,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE705_TurbineDes
STU0099,EEE,7,ME_OE701_IndustrialAuto,31,32,0.7,0.1098,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0426,CE,7,ECE_OE707_Terahertz,30,32,0.8,0.1179,0,0,0.0,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | EEE_OE708_SpacePower | ME_OE705_TurbineDes
STU0394,CSE,7,ME_OE702_SmartMfg,16,32,0.7,0.1381,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
STU0432,ECE,7,EEE_OE703_WindEnergy,28,32,0.8,0.1028,0,0,0.0,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE705_TurbineDes
STU0271,EEE,7,ME_OE705_TurbineDes,5,32,0.9,0.15,1,1,0.3869,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | CSE_OE703_FinTech | ME_OE705_TurbineDes
STU0360,EEE,7,ECE_OE703_SatelliteComm,7,32,0.9,0.1474,0,1,0.3333,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0372,ECE,7,CSE_OE701_AutonomousSys,10,32,0.8,0.1414,0,1,0.2891,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE705_TurbineDes
STU0005,ECE,7,EEE_OE704_BatteryTech,30,32,0.7,0.1053,0,0,0.0,CSE_OE703_FinTech | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0003,EEE,7,ECE_OE704_SpaceElec,17,32,0.7,0.1411,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0085,EEE,7,CE_OE708_ClimateAdapt,21,32,0.8,0.1409,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0074,ECE,7,CSE_OE704_HCI,14,32,0.9,0.1308,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0036,CE,7,EEE_OE703_WindEnergy,27,32,1.0,0.1277,0,0,0.0,CSE_OE703_FinTech | EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes | EEE_OE708_SpacePower
STU0409,CSE,7,ECE_OE707_Terahertz,32,32,0.8,0.1052,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes | EEE_OE702_SolarFarm
STU0252,CE,7,CSE_OE706_AIEthics,18,32,0.9,0.1358,0,0,0.0,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | EEE_OE708_SpacePower | ME_OE705_TurbineDes
STU0063,ECE,7,ME_OE703_HydrogenEnergy,15,32,0.6,0.1276,0,0,0.0,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE705_TurbineDes
STU0169,EEE,7,CSE_OE705_SoftwareArch,26,32,0.0,0.1168,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | CSE_OE703_FinTech | ME_OE705_TurbineDes
STU0116,CE,7,EEE_OE707_TidalEnergy,15,32,0.9,0.1468,0,0,0.0,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0249,ME,7,CSE_OE707_DigitalTwin,24,32,0.7,0.1311,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | ECE_OE701_AutomotiveElec
STU0127,CSE,7,CE_OE701_SmartInfra,13,32,0.8,0.1505,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0200,CSE,7,CE_OE705_TunnelEng,12,32,0.7,0.1534,0,0,0.0,EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE708_SpacePower
STU0433,EEE,7,CSE_OE706_AIEthics,16,32,0.8,0.1345,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0137,EEE,7,CSE_OE704_HCI,12,32,0.8,0.1402,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0145,CSE,7,ECE_OE705_FPGA,14,32,0.6,0.1426,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
STU0350,CE,7,ECE_OE706_WirelessPower,20,32,0.9,0.1339,0,0,0.0,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes | EEE_OE708_SpacePower
STU0209,ME,7,CSE_OE704_HCI,14,32,1.0,0.1549,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | EEE_OE708_SpacePower
STU0408,CSE,7,CE_OE708_ClimateAdapt,20,32,0.6,0.1323,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
STU0037,EEE,7,ECE_OE701_AutomotiveElec,6,32,0.7,0.1463,0,1,0.3562,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0500,CSE,7,ME_OE702_SmartMfg,15,32,0.8,0.134,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
STU0370,ECE,7,CE_OE704_ConstructionMgmt,2,32,0.7,0.1589,1,1,0.6309,CSE_OE703_FinTech | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0176,CE,7,EEE_OE703_WindEnergy,26,32,0.6,0.1369,0,0,0.0,EEE_OE702_SolarFarm | CSE_OE703_FinTech | EEE_OE708_SpacePower | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
