student_id,branch,semester,actual_oe,actual_rank,total_candidates,actual_score,predicted_score,hit@5,hit@10,ndcg@10,top5_oes
STU0034,CSE,7,ME_OE701_IndustrialAuto,31,32,0.6,0.1933,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0366,CSE,7,ECE_OE708_QuantumComm,25,32,1.0,0.1916,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0246,EEE,7,ME_OE705_TurbineDes,14,32,0.6,0.2501,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0381,CE,7,EEE_OE702_SolarFarm,14,32,1.0,0.1906,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0077,ME,7,ECE_OE701_AutomotiveElec,3,32,0.7,0.2219,1,1,0.5,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0471,ECE,7,EEE_OE707_TidalEnergy,8,32,0.7,0.2289,0,1,0.3155,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CE_OE708_ClimateAdapt | ME_OE707_SustainableMfg
STU0289,EEE,7,ME_OE703_HydrogenEnergy,29,32,0.8,0.2172,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | ECE_OE701_AutomotiveElec
STU0258,CE,7,EEE_OE708_SpacePower,12,32,0.6,0.2216,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0170,ME,7,EEE_OE705_GridCyber,13,32,1.0,0.2375,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0111,ECE,7,ME_OE708_AdvancedRobotics,20,32,0.9,0.2116,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CE_OE708_ClimateAdapt | CSE_OE703_FinTech
STU0352,CSE,7,ME_OE701_IndustrialAuto,31,32,1.0,0.2264,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0014,CE,7,ECE_OE702_MedElec,18,32,0.0,0.2171,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0168,CE,7,CSE_OE702_DataPrivacy,4,32,1.0,0.2158,1,1,0.4307,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0062,ECE,7,EEE_OE701_EnergyAudit,25,32,0.7,0.1998,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | CE_OE705_TunnelEng
STU0078,ECE,7,CE_OE708_ClimateAdapt,6,32,1.0,0.2316,0,1,0.3562,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | CSE_OE702_DataPrivacy
STU0311,ME,7,ECE_OE701_AutomotiveElec,3,32,0.7,0.2486,1,1,0.5,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0484,ME,7,CSE_OE706_AIEthics,24,32,0.7,0.214,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0303,CSE,7,ECE_OE701_AutomotiveElec,3,32,0.7,0.2244,1,1,0.5,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0388,EEE,7,CSE_OE705_SoftwareArch,13,32,0.8,0.2299,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0080,ME,7,CSE_OE703_FinTech,6,32,0.7,0.2487,0,1,0.3562,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0103,CSE,7,EEE_OE707_TidalEnergy,10,32,0.8,0.2434,0,1,0.2891,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0462,ME,7,EEE_OE701_EnergyAudit,27,32,0.7,0.2154,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0398,CSE,7,EEE_OE706_Superconductors,29,32,0.6,0.1693,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0467,CE,7,EEE_OE707_TidalEnergy,9,32,0.9,0.1918,0,1,0.301,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | ECE_OE704_SpaceElec
STU0017,CSE,7,ECE_OE703_SatelliteComm,5,32,0.9,0.2199,1,1,0.3869,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0082,CSE,7,EEE_OE706_Superconductors,29,32,0.9,0.1528,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0248,ME,7,EEE_OE705_GridCyber,12,32,1.0,0.2293,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0342,CSE,7,ME_OE708_AdvancedRobotics,18,32,0.6,0.1837,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0474,EEE,7,ECE_OE707_Terahertz,26,32,0.0,0.2327,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec
STU0059,ME,7,EEE_OE706_Superconductors,31,32,0.7,0.2057,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0056,ME,7,CE_OE705_TunnelEng,13,32,0.9,0.2244,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0441,CE,7,ECE_OE703_SatelliteComm,2,32,0.7,0.2137,1,1,0.6309,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0345,EEE,7,CSE_OE706_AIEthics,14,32,0.9,0.2245,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0228,CSE,7,ECE_OE707_Terahertz,23,32,0.9,0.1918,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0060,ME,7,EEE_OE705_GridCyber,9,32,0.7,0.2077,0,1,0.301,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0392,ME,7,ECE_OE702_MedElec,21,32,0.0,0.2021,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0167,CE,7,CSE_OE708_5GNetworks,19,32,0.8,0.2174,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0146,ME,7,ECE_OE705_FPGA,18,32,0.7,0.216,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0477,ECE,7,ME_OE708_AdvancedRobotics,19,32,0.7,0.1704,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | CE_OE708_ClimateAdapt
STU0496,CE,7,ME_OE704_SpaceProp,32,32,0.8,0.1595,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0027,ECE,7,ME_OE704_SpaceProp,32,32,0.6,0.1718,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | CSE_OE702_DataPrivacy
STU0164,ECE,7,EEE_OE704_BatteryTech,30,32,0.7,0.2018,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CE_OE708_ClimateAdapt | CSE_OE703_FinTech
STU0134,EEE,7,ECE_OE708_QuantumComm,29,32,1.0,0.2212,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0322,ECE,7,EEE_OE708_SpacePower,12,32,0.6,0.1838,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | CE_OE708_ClimateAdapt
STU0158,EEE,7,CE_OE703_GreenBuilding,12,32,0.7,0.2275,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0479,ME,7,CE_OE707_WasteManagement,2,32,0.8,0.224,1,1,0.6309,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0254,CSE,7,CE_OE703_GreenBuilding,10,32,0.6,0.2466,0,1,0.2891,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0469,ME,7,EEE_OE703_WindEnergy,30,32,0.5,0.1729,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0006,EEE,7,ECE_OE704_SpaceElec,20,32,0.8,0.2453,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | ECE_OE701_AutomotiveElec
STU0458,CE,7,ECE_OE701_AutomotiveElec,1,32,0.8,0.2338,1,1,1.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0204,EEE,7,ECE_OE707_Terahertz,27,32,0.9,0.1782,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | ECE_OE701_AutomotiveElec
STU0142,CE,7,EEE_OE706_Superconductors,29,32,0.7,0.1932,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0354,EEE,7,CE_OE706_SeismicDesign,20,32,0.9,0.2145,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | ECE_OE701_AutomotiveElec
STU0044,EEE,7,ME_OE701_IndustrialAuto,31,32,0.6,0.162,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0391,CE,7,EEE_OE704_BatteryTech,30,32,0.8,0.1784,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0255,EEE,7,CSE_OE706_AIEthics,13,32,0.8,0.2129,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | ECE_OE701_AutomotiveElec
STU0159,CE,7,EEE_OE705_GridCyber,11,32,0.0,0.228,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0251,EEE,7,CE_OE703_GreenBuilding,14,32,0.8,0.2202,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0368,ME,7,EEE_OE701_EnergyAudit,28,32,0.9,0.1841,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0457,ME,7,CSE_OE705_SoftwareArch,25,32,0.9,0.207,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0415,CE,7,EEE_OE703_WindEnergy,28,32,0.8,0.2003,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0008,CSE,7,CE_OE703_GreenBuilding,12,32,0.8,0.2051,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0281,ECE,7,CSE_OE706_AIEthics,22,32,0.8,0.2294,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | CE_OE708_ClimateAdapt
STU0173,CE,7,ECE_OE701_AutomotiveElec,1,32,1.0,0.2415,1,1,1.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0108,EEE,7,ME_OE701_IndustrialAuto,31,32,0.7,0.1848,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | ECE_OE701_AutomotiveElec
STU0443,ME,7,CE_OE707_WasteManagement,2,32,1.0,0.2522,1,1,0.6309,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0245,CSE,7,EEE_OE701_EnergyAudit,23,32,0.9,0.2193,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0183,CSE,7,ME_OE702_SmartMfg,21,32,0.8,0.193,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0207,ME,7,ECE_OE703_SatelliteComm,4,32,0.7,0.2048,1,1,0.4307,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0234,ME,7,ECE_OE703_SatelliteComm,4,32,0.7,0.2131,1,1,0.4307,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0278,ECE,7,EEE_OE704_BatteryTech,30,32,0.8,0.1954,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | CSE_OE702_DataPrivacy
STU0083,ECE,7,CE_OE705_TunnelEng,6,32,0.5,0.2252,0,1,0.3562,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CE_OE708_ClimateAdapt | ME_OE707_SustainableMfg
STU0099,EEE,7,ME_OE701_IndustrialAuto,31,32,0.7,0.1907,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0426,CE,7,ECE_OE707_Terahertz,23,32,0.8,0.2213,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0394,CSE,7,ME_OE702_SmartMfg,19,32,0.7,0.2241,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0432,ECE,7,EEE_OE703_WindEnergy,28,32,0.8,0.1901,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CE_OE708_ClimateAdapt | CSE_OE703_FinTech
STU0271,EEE,7,ME_OE705_TurbineDes,17,32,0.9,0.2068,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0360,EEE,7,ECE_OE703_SatelliteComm,6,32,0.9,0.2087,0,1,0.3562,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | ECE_OE701_AutomotiveElec
STU0372,ECE,7,CSE_OE701_AutonomousSys,11,32,0.8,0.2292,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CE_OE708_ClimateAdapt | ME_OE707_SustainableMfg
STU0005,ECE,7,EEE_OE704_BatteryTech,30,32,0.7,0.1888,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CE_OE708_ClimateAdapt | CSE_OE703_FinTech
STU0003,EEE,7,ECE_OE704_SpaceElec,20,32,0.7,0.2352,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0085,EEE,7,CE_OE708_ClimateAdapt,13,32,0.8,0.2214,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec
STU0074,ECE,7,CSE_OE704_HCI,18,32,0.9,0.2044,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | CE_OE701_SmartInfra | CSE_OE701_AutonomousSys
STU0036,CE,7,EEE_OE703_WindEnergy,28,32,1.0,0.1755,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0409,CSE,7,ECE_OE707_Terahertz,22,32,0.8,0.2007,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0252,CE,7,CSE_OE706_AIEthics,21,32,0.9,0.2294,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0063,ECE,7,ME_OE703_HydrogenEnergy,24,32,0.6,0.206,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CE_OE708_ClimateAdapt | CSE_OE703_FinTech
STU0169,EEE,7,CSE_OE705_SoftwareArch,12,32,0.0,0.2442,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0116,CE,7,EEE_OE707_TidalEnergy,9,32,0.9,0.1919,0,1,0.301,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0249,ME,7,CSE_OE707_DigitalTwin,23,32,0.7,0.1934,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0127,CSE,7,CE_OE701_SmartInfra,5,32,0.8,0.2589,1,1,0.3869,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0200,CSE,7,CE_OE705_TunnelEng,7,32,0.7,0.2189,0,1,0.3333,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0433,EEE,7,CSE_OE706_AIEthics,19,32,0.8,0.2493,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0137,EEE,7,CSE_OE704_HCI,16,32,0.8,0.2371,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0145,CSE,7,ECE_OE705_FPGA,19,32,0.6,0.1871,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0350,CE,7,ECE_OE706_WirelessPower,7,32,0.9,0.2349,0,1,0.3333,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0209,ME,7,CSE_OE704_HCI,24,32,1.0,0.2312,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0408,CSE,7,CE_OE708_ClimateAdapt,8,32,0.6,0.2452,0,1,0.3155,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0037,EEE,7,ECE_OE701_AutomotiveElec,4,32,0.7,0.2651,1,1,0.4307,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0500,CSE,7,ME_OE702_SmartMfg,22,32,0.8,0.193,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm
STU0370,ECE,7,CE_OE704_ConstructionMgmt,1,32,0.7,0.2436,1,1,1.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CE_OE708_ClimateAdapt | CSE_OE703_FinTech
