student_id,branch,semester,actual_oe,actual_rank,total_candidates,actual_score,predicted_score,hit@5,hit@10,ndcg@10,top5_oes
STU0034,CSE,7,ME_OE701_IndustrialAuto,16,32,0.6,0.1647,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0077,ME,7,ECE_OE701_AutomotiveElec,12,32,0.7,0.1503,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE705_GridCyber
STU0471,ECE,7,EEE_OE707_TidalEnergy,20,32,0.7,0.1825,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0289,EEE,7,ME_OE703_HydrogenEnergy,8,32,0.8,0.1924,0,1,0.3155,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0258,CE,7,EEE_OE708_SpacePower,6,32,0.6,0.2033,0,1,0.3562,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | ME_OE702_SmartMfg | ME_OE703_HydrogenEnergy
STU0170,ME,7,EEE_OE705_GridCyber,6,32,1.0,0.1847,0,1,0.3562,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0111,ECE,7,ME_OE708_AdvancedRobotics,3,32,0.9,0.2008,1,1,0.5,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0352,CSE,7,ME_OE701_IndustrialAuto,15,32,1.0,0.1943,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0014,CE,7,ECE_OE702_MedElec,28,32,0.0,0.1456,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | ME_OE703_HydrogenEnergy
STU0168,CE,7,CSE_OE702_DataPrivacy,17,32,1.0,0.1853,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | EEE_OE708_SpacePower
STU0062,ECE,7,EEE_OE701_EnergyAudit,29,32,0.7,0.1686,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0078,ECE,7,CE_OE708_ClimateAdapt,19,32,1.0,0.2041,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0311,ME,7,ECE_OE701_AutomotiveElec,13,32,0.7,0.1688,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0484,ME,7,CSE_OE706_AIEthics,9,32,0.7,0.1543,0,1,0.301,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0303,CSE,7,ECE_OE701_AutomotiveElec,12,32,0.7,0.1646,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0388,EEE,7,CSE_OE705_SoftwareArch,25,32,0.8,0.1727,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0080,ME,7,CSE_OE703_FinTech,8,32,0.7,0.1821,0,1,0.3155,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0103,CSE,7,EEE_OE707_TidalEnergy,21,32,0.8,0.1558,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0462,ME,7,EEE_OE701_EnergyAudit,20,32,0.7,0.1515,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0398,CSE,7,EEE_OE706_Superconductors,31,32,0.6,0.1388,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0467,CE,7,EEE_OE707_TidalEnergy,17,32,0.9,0.1816,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | EEE_OE708_SpacePower
STU0017,CSE,7,ECE_OE703_SatelliteComm,13,32,0.9,0.1567,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0082,CSE,7,EEE_OE706_Superconductors,27,32,0.9,0.1473,0,0,0.0,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0248,ME,7,EEE_OE705_GridCyber,6,32,1.0,0.1644,0,1,0.3562,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0342,CSE,7,ME_OE708_AdvancedRobotics,3,32,0.6,0.1836,1,1,0.5,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0474,EEE,7,ECE_OE707_Terahertz,32,32,0.0,0.1557,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0059,ME,7,EEE_OE706_Superconductors,30,32,0.7,0.1467,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0056,ME,7,CE_OE705_TunnelEng,8,32,0.9,0.163,0,1,0.3155,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0441,CE,7,ECE_OE703_SatelliteComm,15,32,0.7,0.171,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | EEE_OE708_SpacePower
STU0345,EEE,7,CSE_OE706_AIEthics,11,32,0.9,0.1672,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0228,CSE,7,ECE_OE707_Terahertz,29,32,0.9,0.138,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0060,ME,7,EEE_OE705_GridCyber,5,32,0.7,0.1644,1,1,0.3869,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE705_GridCyber
STU0392,ME,7,ECE_OE702_MedElec,29,32,0.0,0.142,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0167,CE,7,CSE_OE708_5GNetworks,19,32,0.8,0.1829,0,0,0.0,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | ME_OE702_SmartMfg | ME_OE703_HydrogenEnergy
STU0146,ME,7,ECE_OE705_FPGA,26,32,0.7,0.1428,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0477,ECE,7,ME_OE708_AdvancedRobotics,3,32,0.7,0.1789,1,1,0.5,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0496,CE,7,ME_OE704_SpaceProp,12,32,0.8,0.1752,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | EEE_OE708_SpacePower
STU0027,ECE,7,ME_OE704_SpaceProp,18,32,0.6,0.177,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0164,ECE,7,EEE_OE704_BatteryTech,32,32,0.7,0.1549,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0134,EEE,7,ECE_OE708_QuantumComm,28,32,1.0,0.1583,0,0,0.0,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0322,ECE,7,EEE_OE708_SpacePower,8,32,0.6,0.1859,0,1,0.3155,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0158,EEE,7,CE_OE703_GreenBuilding,21,32,0.7,0.1604,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0479,ME,7,CE_OE707_WasteManagement,2,32,0.8,0.1963,1,1,0.6309,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE705_GridCyber
STU0254,CSE,7,CE_OE703_GreenBuilding,21,32,0.6,0.1538,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0469,ME,7,EEE_OE703_WindEnergy,25,32,0.5,0.139,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE705_GridCyber
STU0006,EEE,7,ECE_OE704_SpaceElec,31,32,0.8,0.148,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0458,CE,7,ECE_OE701_AutomotiveElec,14,32,0.8,0.166,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | ME_OE703_HydrogenEnergy
STU0204,EEE,7,ECE_OE707_Terahertz,32,32,0.9,0.1605,0,0,0.0,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0142,CE,7,EEE_OE706_Superconductors,29,32,0.7,0.1572,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | EEE_OE708_SpacePower
STU0354,EEE,7,CE_OE706_SeismicDesign,20,32,0.9,0.1676,0,0,0.0,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0044,EEE,7,ME_OE701_IndustrialAuto,12,32,0.6,0.1793,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0391,CE,7,EEE_OE704_BatteryTech,32,32,0.8,0.1326,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | ME_OE703_HydrogenEnergy
STU0255,EEE,7,CSE_OE706_AIEthics,11,32,0.8,0.1739,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0159,CE,7,EEE_OE705_GridCyber,13,32,0.0,0.189,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | ME_OE703_HydrogenEnergy
STU0251,EEE,7,CE_OE703_GreenBuilding,21,32,0.8,0.155,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0368,ME,7,EEE_OE701_EnergyAudit,20,32,0.9,0.1513,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE705_GridCyber
STU0457,ME,7,CSE_OE705_SoftwareArch,22,32,0.9,0.1773,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0415,CE,7,EEE_OE703_WindEnergy,27,32,0.8,0.1644,0,0,0.0,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | ME_OE702_SmartMfg | EEE_OE708_SpacePower
STU0008,CSE,7,CE_OE703_GreenBuilding,20,32,0.8,0.1547,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0281,ECE,7,CSE_OE706_AIEthics,12,32,0.8,0.1913,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0173,CE,7,ECE_OE701_AutomotiveElec,14,32,1.0,0.1535,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | ME_OE703_HydrogenEnergy
STU0108,EEE,7,ME_OE701_IndustrialAuto,12,32,0.7,0.1719,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0443,ME,7,CE_OE707_WasteManagement,2,32,1.0,0.1845,1,1,0.6309,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0245,CSE,7,EEE_OE701_EnergyAudit,24,32,0.9,0.153,0,0,0.0,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0183,CSE,7,ME_OE702_SmartMfg,6,32,0.8,0.1784,0,1,0.3562,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0207,ME,7,ECE_OE703_SatelliteComm,14,32,0.7,0.1811,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0234,ME,7,ECE_OE703_SatelliteComm,12,32,0.7,0.1585,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE705_GridCyber
STU0278,ECE,7,EEE_OE704_BatteryTech,32,32,0.8,0.1843,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0083,ECE,7,CE_OE705_TunnelEng,19,32,0.5,0.1736,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0099,EEE,7,ME_OE701_IndustrialAuto,11,32,0.7,0.1663,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0426,CE,7,ECE_OE707_Terahertz,29,32,0.8,0.1445,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | ME_OE703_HydrogenEnergy
STU0394,CSE,7,ME_OE702_SmartMfg,6,32,0.7,0.1711,0,1,0.3562,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0432,ECE,7,EEE_OE703_WindEnergy,30,32,0.8,0.1498,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0271,EEE,7,ME_OE705_TurbineDes,1,32,0.9,0.2138,1,1,1.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0360,EEE,7,ECE_OE703_SatelliteComm,15,32,0.9,0.1614,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0372,ECE,7,CSE_OE701_AutonomousSys,27,32,0.8,0.1648,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0005,ECE,7,EEE_OE704_BatteryTech,32,32,0.7,0.1514,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0003,EEE,7,ECE_OE704_SpaceElec,31,32,0.7,0.1439,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0085,EEE,7,CE_OE708_ClimateAdapt,18,32,0.8,0.1809,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0074,ECE,7,CSE_OE704_HCI,15,32,0.9,0.1757,0,0,0.0,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0036,CE,7,EEE_OE703_WindEnergy,30,32,1.0,0.1506,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | ME_OE703_HydrogenEnergy
STU0409,CSE,7,ECE_OE707_Terahertz,29,32,0.8,0.1436,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0252,CE,7,CSE_OE706_AIEthics,12,32,0.9,0.1833,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | ME_OE703_HydrogenEnergy
STU0063,ECE,7,ME_OE703_HydrogenEnergy,11,32,0.6,0.1692,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0169,EEE,7,CSE_OE705_SoftwareArch,25,32,0.0,0.1592,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0116,CE,7,EEE_OE707_TidalEnergy,17,32,0.9,0.1646,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | EEE_OE708_SpacePower
STU0249,ME,7,CSE_OE707_DigitalTwin,21,32,0.7,0.1442,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE705_GridCyber
STU0127,CSE,7,CE_OE701_SmartInfra,7,32,0.8,0.1919,0,1,0.3333,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0200,CSE,7,CE_OE705_TunnelEng,12,32,0.7,0.1961,0,0,0.0,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0433,EEE,7,CSE_OE706_AIEthics,11,32,0.8,0.1813,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0137,EEE,7,CSE_OE704_HCI,16,32,0.8,0.1663,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0145,CSE,7,ECE_OE705_FPGA,26,32,0.6,0.1323,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0350,CE,7,ECE_OE706_WirelessPower,23,32,0.9,0.1602,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | ME_OE703_HydrogenEnergy
STU0209,ME,7,CSE_OE704_HCI,11,32,1.0,0.1775,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0408,CSE,7,CE_OE708_ClimateAdapt,18,32,0.6,0.1649,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0037,EEE,7,ECE_OE701_AutomotiveElec,15,32,0.7,0.1799,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0500,CSE,7,ME_OE702_SmartMfg,6,32,0.8,0.1775,0,1,0.3562,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0370,ECE,7,CE_OE704_ConstructionMgmt,4,32,0.7,0.2119,1,1,0.4307,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0176,CE,7,EEE_OE703_WindEnergy,30,32,0.6,0.1639,0,0,0.0,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | ME_OE702_SmartMfg | EEE_OE708_SpacePower
