student_id,branch,semester,actual_oe,actual_rank,total_candidates,actual_score,predicted_score,hit@5,hit@10,ndcg@10,top5_oes
STU0034,CSE,7,ME_OE701_IndustrialAuto,24,32,0.6,0.1246,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0170,ME,7,EEE_OE705_GridCyber,3,32,1.0,0.1484,1,1,0.5,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0111,ECE,7,ME_OE708_AdvancedRobotics,8,32,0.9,0.115,0,1,0.3155,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0352,CSE,7,ME_OE701_IndustrialAuto,25,32,1.0,0.1375,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE708_SpacePower
STU0014,CE,7,ECE_OE702_MedElec,29,32,0.0,0.1084,0,0,0.0,ME_OE707_SustainableMfg | EEE_OE705_GridCyber | EEE_OE708_SpacePower | ME_OE705_TurbineDes | CSE_OE703_FinTech
STU0168,CE,7,CSE_OE702_DataPrivacy,18,32,1.0,0.0786,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0062,ECE,7,EEE_OE701_EnergyAudit,31,32,0.7,0.0772,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0078,ECE,7,CE_OE708_ClimateAdapt,12,32,1.0,0.1269,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0311,ME,7,ECE_OE701_AutomotiveElec,14,32,0.7,0.1164,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0484,ME,7,CSE_OE706_AIEthics,12,32,0.7,0.1342,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0303,CSE,7,ECE_OE701_AutomotiveElec,15,32,0.7,0.0967,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0388,EEE,7,CSE_OE705_SoftwareArch,15,32,0.8,0.1025,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0080,ME,7,CSE_OE703_FinTech,6,32,0.7,0.1562,0,1,0.3562,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0103,CSE,7,EEE_OE707_TidalEnergy,13,32,0.8,0.147,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | ME_OE707_SustainableMfg | EEE_OE708_SpacePower
STU0462,ME,7,EEE_OE701_EnergyAudit,27,32,0.7,0.1159,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0398,CSE,7,EEE_OE706_Superconductors,14,32,0.6,0.0898,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0467,CE,7,EEE_OE707_TidalEnergy,11,32,0.9,0.1003,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0017,CSE,7,ECE_OE703_SatelliteComm,17,32,0.9,0.1057,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0082,CSE,7,EEE_OE706_Superconductors,14,32,0.9,0.0878,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0248,ME,7,EEE_OE705_GridCyber,3,32,1.0,0.1549,1,1,0.5,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0342,CSE,7,ME_OE708_AdvancedRobotics,9,32,0.6,0.108,0,1,0.301,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0474,EEE,7,ECE_OE707_Terahertz,28,32,0.0,0.1089,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0059,ME,7,EEE_OE706_Superconductors,11,32,0.7,0.1377,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0056,ME,7,CE_OE705_TunnelEng,24,32,0.9,0.1248,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0441,CE,7,ECE_OE703_SatelliteComm,17,32,0.7,0.0892,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0345,EEE,7,CSE_OE706_AIEthics,14,32,0.9,0.1197,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0228,CSE,7,ECE_OE707_Terahertz,30,32,0.9,0.0886,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0060,ME,7,EEE_OE705_GridCyber,3,32,0.7,0.1209,1,1,0.5,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | CE_OE701_SmartInfra | EEE_OE708_SpacePower
STU0392,ME,7,ECE_OE702_MedElec,26,32,0.0,0.095,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0167,CE,7,CSE_OE708_5GNetworks,29,32,0.8,0.1077,0,0,0.0,ME_OE707_SustainableMfg | EEE_OE705_GridCyber | ME_OE705_TurbineDes | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0146,ME,7,ECE_OE705_FPGA,26,32,0.7,0.1085,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0477,ECE,7,ME_OE708_AdvancedRobotics,9,32,0.7,0.0874,0,1,0.301,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0496,CE,7,ME_OE704_SpaceProp,24,32,0.8,0.0839,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0027,ECE,7,ME_OE704_SpaceProp,24,32,0.6,0.08,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0164,ECE,7,EEE_OE704_BatteryTech,28,32,0.7,0.1184,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0134,EEE,7,ECE_OE708_QuantumComm,31,32,1.0,0.0994,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0322,ECE,7,EEE_OE708_SpacePower,7,32,0.6,0.0934,0,1,0.3333,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0158,EEE,7,CE_OE703_GreenBuilding,29,32,0.7,0.1019,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0479,ME,7,CE_OE707_WasteManagement,2,32,0.8,0.1126,1,1,0.6309,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE705_GridCyber | EEE_OE708_SpacePower
STU0254,CSE,7,CE_OE703_GreenBuilding,23,32,0.6,0.1339,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0469,ME,7,EEE_OE703_WindEnergy,10,32,0.5,0.0885,0,1,0.2891,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE705_GridCyber | EEE_OE708_SpacePower
STU0006,EEE,7,ECE_OE704_SpaceElec,18,32,0.8,0.1264,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0458,CE,7,ECE_OE701_AutomotiveElec,13,32,0.8,0.1087,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0204,EEE,7,ECE_OE707_Terahertz,29,32,0.9,0.0777,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0142,CE,7,EEE_OE706_Superconductors,18,32,0.7,0.1104,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0354,EEE,7,CE_OE706_SeismicDesign,18,32,0.9,0.0912,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0044,EEE,7,ME_OE701_IndustrialAuto,20,32,0.6,0.0814,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0391,CE,7,EEE_OE704_BatteryTech,23,32,0.8,0.0988,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | ME_OE708_AdvancedRobotics
STU0255,EEE,7,CSE_OE706_AIEthics,14,32,0.8,0.0983,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0159,CE,7,EEE_OE705_GridCyber,3,32,0.0,0.1308,1,1,0.5,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | ME_OE708_AdvancedRobotics
STU0251,EEE,7,CE_OE703_GreenBuilding,29,32,0.8,0.0898,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0368,ME,7,EEE_OE701_EnergyAudit,29,32,0.9,0.0762,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE705_GridCyber | EEE_OE708_SpacePower
STU0457,ME,7,CSE_OE705_SoftwareArch,13,32,0.9,0.1155,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0415,CE,7,EEE_OE703_WindEnergy,13,32,0.8,0.1056,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0008,CSE,7,CE_OE703_GreenBuilding,25,32,0.8,0.0912,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0281,ECE,7,CSE_OE706_AIEthics,15,32,0.8,0.1153,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0173,CE,7,ECE_OE701_AutomotiveElec,12,32,1.0,0.1308,0,0,0.0,EEE_OE705_GridCyber | ME_OE707_SustainableMfg | EEE_OE708_SpacePower | ME_OE705_TurbineDes | CSE_OE703_FinTech
STU0108,EEE,7,ME_OE701_IndustrialAuto,24,32,0.7,0.0999,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0443,ME,7,CE_OE707_WasteManagement,2,32,1.0,0.1527,1,1,0.6309,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0245,CSE,7,EEE_OE701_EnergyAudit,29,32,0.9,0.1184,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0183,CSE,7,ME_OE702_SmartMfg,13,32,0.8,0.1028,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0207,ME,7,ECE_OE703_SatelliteComm,15,32,0.7,0.0831,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE705_GridCyber | EEE_OE708_SpacePower
STU0234,ME,7,ECE_OE703_SatelliteComm,15,32,0.7,0.0834,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE705_GridCyber | EEE_OE708_SpacePower
STU0278,ECE,7,EEE_OE704_BatteryTech,29,32,0.8,0.1039,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0083,ECE,7,CE_OE705_TunnelEng,29,32,0.5,0.1192,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0099,EEE,7,ME_OE701_IndustrialAuto,27,32,0.7,0.1154,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0426,CE,7,ECE_OE707_Terahertz,30,32,0.8,0.1125,0,0,0.0,EEE_OE705_GridCyber | ME_OE707_SustainableMfg | EEE_OE708_SpacePower | ME_OE705_TurbineDes | CSE_OE703_FinTech
STU0394,CSE,7,ME_OE702_SmartMfg,18,32,0.7,0.1371,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0432,ECE,7,EEE_OE703_WindEnergy,17,32,0.8,0.1119,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0271,EEE,7,ME_OE705_TurbineDes,4,32,0.9,0.1137,1,1,0.4307,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0360,EEE,7,ECE_OE703_SatelliteComm,13,32,0.9,0.0891,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0372,ECE,7,CSE_OE701_AutonomousSys,19,32,0.8,0.1335,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0005,ECE,7,EEE_OE704_BatteryTech,28,32,0.7,0.0985,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0003,EEE,7,ECE_OE704_SpaceElec,19,32,0.7,0.1299,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0085,EEE,7,CE_OE708_ClimateAdapt,6,32,0.8,0.1141,0,1,0.3562,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0074,ECE,7,CSE_OE704_HCI,29,32,0.9,0.0778,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0036,CE,7,EEE_OE703_WindEnergy,14,32,1.0,0.0992,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0409,CSE,7,ECE_OE707_Terahertz,28,32,0.8,0.0921,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0252,CE,7,CSE_OE706_AIEthics,10,32,0.9,0.1306,0,1,0.2891,ME_OE707_SustainableMfg | EEE_OE705_GridCyber | ME_OE705_TurbineDes | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0063,ECE,7,ME_OE703_HydrogenEnergy,11,32,0.6,0.1375,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0169,EEE,7,CSE_OE705_SoftwareArch,13,32,0.0,0.1242,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0116,CE,7,EEE_OE707_TidalEnergy,15,32,0.9,0.0873,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0249,ME,7,CSE_OE707_DigitalTwin,16,32,0.7,0.094,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | CE_OE701_SmartInfra | EEE_OE708_SpacePower
STU0127,CSE,7,CE_OE701_SmartInfra,9,32,0.8,0.1519,0,1,0.301,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0200,CSE,7,CE_OE705_TunnelEng,24,32,0.7,0.0873,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0433,EEE,7,CSE_OE706_AIEthics,14,32,0.8,0.1399,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0137,EEE,7,CSE_OE704_HCI,23,32,0.8,0.1256,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0145,CSE,7,ECE_OE705_FPGA,28,32,0.6,0.0838,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0350,CE,7,ECE_OE706_WirelessPower,28,32,0.9,0.1107,0,0,0.0,ME_OE707_SustainableMfg | EEE_OE705_GridCyber | ME_OE705_TurbineDes | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0209,ME,7,CSE_OE704_HCI,19,32,1.0,0.1308,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0408,CSE,7,CE_OE708_ClimateAdapt,11,32,0.6,0.1435,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0037,EEE,7,ECE_OE701_AutomotiveElec,11,32,0.7,0.1324,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0500,CSE,7,ME_OE702_SmartMfg,13,32,0.8,0.1027,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0370,ECE,7,CE_OE704_ConstructionMgmt,1,32,0.7,0.1301,1,1,1.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0176,CE,7,EEE_OE703_WindEnergy,13,32,0.6,0.1015,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0097,ECE,7,EEE_OE701_EnergyAudit,31,32,1.0,0.1049,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0124,EEE,7,CE_OE708_ClimateAdapt,8,32,0.7,0.1292,0,1,0.3155,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
